time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 19:44:14.949+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.954+08,1,SH-HZ-20260629-0291,861234567890123,29.61622,106.50563,0,0,5
2026-07-02 19:44:14.959+08,1,SH-HZ-20260629-0291,861234567890123,29.61624,106.50566,0,0,5
2026-07-02 19:44:14.969+08,1,SH-HZ-20260629-0291,861234567890123,29.61624,106.50567,0,0,5
2026-07-02 20:04:33.583+08,1,SH-HZ-20260629-0291,861234567890123,29.61998,106.50886,0,0,5
2026-07-02 20:04:36.536+08,1,SH-HZ-20260629-0291,861234567890123,29.61994,106.50882,0,0,5
2026-07-02 20:04:39.555+08,1,SH-HZ-20260629-0291,861234567890123,29.6199,106.50879,0,0,5
2026-07-02 20:04:42.623+08,1,SH-HZ-20260629-0291,861234567890123,29.61987,106.50876,0,0,5
2026-07-02 20:04:45.573+08,1,SH-HZ-20260629-0291,861234567890123,29.61986,106.50873,0,0,5
2026-07-02 20:04:48.549+08,1,SH-HZ-20260629-0291,861234567890123,29.61983,106.50869,0,0,5
2026-07-02 20:04:51.56+08,1,SH-HZ-20260629-0291,861234567890123,29.61978,106.50866,0,0,5
2026-07-02 20:04:54.538+08,1,SH-HZ-20260629-0291,861234567890123,29.61975,106.50864,0,0,5
2026-07-02 20:04:57.598+08,1,SH-HZ-20260629-0291,861234567890123,29.6197,106.50863,0,0,5
2026-07-02 20:05:00.523+08,1,SH-HZ-20260629-0291,861234567890123,29.61968,106.5086,0,0,5
2026-07-02 20:05:03.563+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50857,0,0,5
2026-07-02 20:05:06.569+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.50853,0,0,5
2026-07-02 20:05:09.554+08,1,SH-HZ-20260629-0291,861234567890123,29.61958,106.5085,0,0,5
2026-07-02 20:05:12.559+08,1,SH-HZ-20260629-0291,861234567890123,29.61956,106.50847,0,0,5
2026-07-02 20:05:15.555+08,1,SH-HZ-20260629-0291,861234567890123,29.61956,106.50844,0,0,5
2026-07-02 20:05:18.57+08,1,SH-HZ-20260629-0291,861234567890123,29.61956,106.5084,0,0,5
2026-07-02 20:05:21.617+08,1,SH-HZ-20260629-0291,861234567890123,29.61958,106.50835,0,0,5
2026-07-02 20:05:24.621+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50834,0,0,5
2026-07-02 20:05:27.571+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50828,0,0,5
2026-07-02 20:05:34.774+08,1,SH-HZ-20260629-0291,861234567890123,29.61969,106.50824,0,0,5
2026-07-02 20:05:34.79+08,1,SH-HZ-20260629-0291,861234567890123,29.61972,106.50821,0,0,5
2026-07-02 20:05:36.59+08,1,SH-HZ-20260629-0291,861234567890123,29.61972,106.50817,0,0,5
2026-07-02 20:05:39.589+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50812,0,0,5
2026-07-02 20:05:42.58+08,1,SH-HZ-20260629-0291,861234567890123,29.61974,106.50809,0,0,5
2026-07-02 20:05:45.588+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50808,0,0,5
2026-07-02 20:05:48.581+08,1,SH-HZ-20260629-0291,861234567890123,29.61974,106.50804,0,0,5
2026-07-02 20:05:51.556+08,1,SH-HZ-20260629-0291,861234567890123,29.61974,106.50799,0,0,5
2026-07-02 20:05:54.597+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50796,0,0,5
2026-07-02 20:05:57.59+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50792,0,0,5
2026-07-02 20:06:00.547+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50789,0,0,5
2026-07-02 20:06:03.551+08,1,SH-HZ-20260629-0291,861234567890123,29.61972,106.50786,0,0,5
2026-07-02 20:06:06.575+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50783,0,0,5
2026-07-02 20:06:09.593+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50779,0,0,5
2026-07-02 20:06:12.599+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50774,0,0,5
2026-07-02 20:06:15.556+08,1,SH-HZ-20260629-0291,861234567890123,29.61981,106.50769,0,0,5
2026-07-02 20:06:18.527+08,1,SH-HZ-20260629-0291,861234567890123,29.61983,106.50761,0,0,5
2026-07-02 20:06:21.548+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50756,0,0,5
2026-07-02 20:06:24.564+08,1,SH-HZ-20260629-0291,861234567890123,29.61981,106.50751,0,0,5
